"SAMPLES","CLASS","X","Y"
"cell001","class1",3.5367003124,2.3777537586
"cell002","class1",2.314274775,1.4866495221
"cell003","class1",2.3672278221,2.2648840876
"cell004","class1",2.9737178559,2.2268577697
"cell005","class1",2.4775907019,2.4729878799
"cell006","class1",4.0415395074,1.8182515967
"cell007","class1",2.9584514572,2.3009193596
"cell008","class1",1.8149548283,2.1627303391
"cell009","class1",4.2111162992,3.112512198
"cell010","class1",1.6584260241,2.4482323048
"cell011","class1",2.6611742183,1.7518964639
"cell012","class1",3.7464414244,1.681018595
"cell013","class1",3.6893018063,2.1140542315
"cell014","class1",1.8797340577,2.379102547
"cell015","class1",3.1477030574,1.8982554783
"cell016","class1",2.7806473133,1.6170245322
"cell017","class1",2.3130965059,2.8269454173
"cell018","class1",2.9548676316,1.9895783362
"cell019","class1",3.5578098552,1.096929638
"cell020","class1",4.7309866226,0.9086226256
"cell021","class1",2.2897347962,2.1737321696
"cell022","class1",3.4725478002,1.8155874508
"cell023","class1",2.6946054304,2.5398825214
"cell024","class1",1.2769382019,2.0860694912
"cell025","class1",1.9261978486,2.124211775
"cell026","class1",3.0347489936,2.4836434215
"cell027","class1",3.2252156056,1.6583354024
"cell028","class1",4.0521610467,2.0396571656
"cell029","class1",3.9258237916,2.1880455783
"cell030","class1",2.3134076617,2.3819764408
"cell031","class1",2.477307089,2.9469207459
"cell032","class1",2.5953957115,2.2277298624
"cell033","class1",2.6622732518,1.6721426962
"cell034","class1",2.9555962735,1.8725971342
"cell035","class1",2.9964596855,1.630862359
"cell036","class1",2.6796500642,2.3999546524
"cell037","class1",2.5790404686,2.0314172714
"cell038","class1",3.9372098049,1.1204088868
"cell039","class1",3.0149521806,2.2647577632
"cell040","class1",3.9789202022,2.2058531692
"cell041","class1",3.0580147739,2.7086505216
"cell042","class1",2.0115054302,1.9846239612
"cell043","class1",3.8321817789,1.9378469148
"cell044","class1",1.5502022847,2.2464823248
"cell045","class1",5.1331629523,2.4892650758
"cell046","class1",2.1321087666,1.7330042637
"cell047","class1",3.5704755119,1.1637263347
"cell048","class1",3.0653944574,2.4304441207
"cell049","class1",3.6538000533,1.220310604
"cell050","class1",2.9905826043,2.0687314881
"cell051","class1",2.1695557729,2.3157583631
"cell052","class1",2.7744110704,2.0621202412
"cell053","class1",2.349951946,2.5356741812
"cell054","class1",2.3928362249,1.8807344974
"cell055","class1",3.2538649385,1.818463093
"cell056","class1",3.6576863729,1.8852671523
"cell057","class1",3.3651462404,1.6231835246
"cell058","class1",1.2477887689,2.539452954
"cell059","class1",1.384466278,1.9930489773
"cell060","class1",1.8050433762,2.207962328
"cell061","class1",3.777291418,2.017888207
"cell062","class1",4.9625924964,2.9842387917
"cell063","class1",3.6382318811,2.3893708208
"cell064","class1",2.7498440354,1.9946391586
"cell065","class1",2.628659451,2.9028647196
"cell066","class1",2.0108783396,1.9973193898
"cell067","class1",0.6799828939,2.1885936127
"cell068","class1",2.4013986051,1.8620286639
"cell069","class1",4.3538111357,2.0919496817
"cell070","class1",3.8336578239,1.5223229741
"cell071","class1",4.5352022642,2.6899980818
"cell072","class1",5.14059728,2.4613773797
"cell073","class1",3.7564098035,2.4105775766
"cell074","class1",1.4801567105,2.3425838846
"cell075","class1",1.3531769433,2.3165523642
"cell076","class1",4.7466371735,2.2706348187
"cell077","class1",3.6561210993,1.6791291865
"cell078","class1",3.8077383982,1.5685341065
"cell079","class1",4.1380553758,0.878969758
"cell080","class1",3.1192063862,2.2990561372
"cell081","class1",3.9903410647,1.9123608982
"cell082","class1",4.2249929543,1.767971814
"cell083","class1",2.411281569,2.2893653597
"cell084","class1",2.047555233,3.6622813173
"cell085","class1",2.7158576432,1.1497927592
"cell086","class1",2.3524648313,1.0916661173
"cell087","class1",2.3580510575,1.6684453796
"cell088","class1",0.3813753763,1.8556978833
"cell089","class1",2.9899038226,1.2973449441
"cell090","class1",2.3954119155,1.0098997858
"cell091","class1",2.1214580552,1.2387766369
"cell092","class1",3.7941886081,2.5843511054
"cell093","class1",2.4409013413,1.4035859805
"cell094","class1",2.230712742,1.6338940819
"cell095","class1",3.6399937955,1.3370279125
"cell096","class1",2.9430741276,2.637943609
"cell097","class1",3.5373954267,1.4639449928
"cell098","class1",2.9518891427,1.7649640941
"cell099","class1",1.2852369408,0.8443333599
"cell100","class1",3.0409076478,2.2031585717
"cell101","class1",3.0407267375,1.7524105509
"cell102","class1",3.0952905917,1.9809259314
"cell103","class1",2.9019319152,3.4281441988
"cell104","class1",3.4667309996,1.5198953832
"cell105","class1",2.6035165378,2.828126209
"cell106","class1",2.3414859402,1.9435285958
"cell107","class1",1.162326133,2.8376658747
"cell108","class1",3.8923147778,1.6251129871
"cell109","class1",1.9309875966,3.1993063006
"cell110","class1",1.9314065374,1.2360932254
"cell111","class1",2.0407462231,2.5586295693
"cell112","class1",1.0451162598,2.3658041535
"cell113","class1",4.0317347401,1.7580586339
"cell114","class1",3.1856763741,2.2546620625
"cell115","class1",4.005250884,3.0459284438
"cell116","class1",3.4011686814,2.0095244149
"cell117","class1",3.3853270101,2.5752010321
"cell118","class1",0.9619343082,2.4036584926
"cell119","class1",2.6173734763,1.366289723
"cell120","class1",3.9077366236,1.4573271721
"cell121","class1",0.2737261633,2.2580441283
"cell122","class1",2.2240997009,1.3396078427
"cell123","class1",2.5902086591,1.7090277262
"cell124","class1",1.1741358221,1.9976887304
"cell125","class1",4.2576809205,1.4262176946
"cell126","class1",1.5536444012,2.5661166471
"cell127","class1",1.9437570451,2.1316531676
"cell128","class1",2.5772929319,1.7199372486
"cell129","class1",1.8215977256,2.0219021989
"cell130","class1",1.6708550086,1.7377661288
"cell131","class1",4.5983659267,2.0417257413
"cell132","class1",3.3567443298,2.8629525667
"cell133","class1",4.0843390852,0.9161720333
"cell134","class1",2.3330230699,1.1033846523
"cell135","class1",4.6267453999,1.9156182682
"cell136","class1",3.327585668,2.3139556269
"cell137","class1",4.3525226374,1.9292923904
"cell138","class1",2.1768946581,2.2703768709
"cell139","class1",3.4027549134,1.9107241867
"cell140","class1",2.8593576622,1.4528966571
"cell141","class1",2.2979516349,1.9111681185
"cell142","class1",4.2358783379,2.4736023252
"cell143","class1",3.8582642111,2.3744551936
"cell144","class1",3.1714970039,2.1115630768
"cell145","class1",3.9021353071,1.5807728532
"cell146","class1",2.0609759956,2.1638011331
"cell147","class1",2.6057270065,1.9074919424
"cell148","class1",3.0950753227,1.6442498726
"cell149","class1",2.6791428439,1.6923324331
"cell150","class1",1.4980684956,3.0916920987
"cell151","class1",3.6076088159,2.6474824074
"cell152","class1",3.8470701233,2.3094222592
"cell153","class1",3.3481795405,2.6482756386
"cell154","class1",2.795776065,2.1220124534
"cell155","class1",3.5783861034,1.3971353938
"cell156","class1",2.3267988433,1.5775433483
"cell157","class1",3.914737552,0.9153280352
"cell158","class1",4.8446029695,1.8336629572
"cell159","class1",4.9035939726,2.3477510088
"cell160","class1",2.816981157,1.6852369602
"cell161","class1",1.9372874656,1.7370882659
"cell162","class1",1.8001486495,2.1616705918
"cell163","class1",3.6524384869,1.7146492365
"cell164","class1",4.0077176507,1.3479846797
"cell165","class1",3.5808495776,1.6411083693
"cell166","class1",2.1280838666,2.2368825201
"cell167","class1",2.0667419359,1.4873663151
"cell168","class1",4.715082565,2.2201180129
"cell169","class1",2.9267219095,2.1560944427
"cell170","class1",3.3035537105,2.5219402112
"cell171","class1",5.0136280479,2.0469634857
"cell172","class1",3.5088392241,2.4959632758
"cell173","class1",1.8205131694,1.7307074143
"cell174","class1",1.7147260117,2.4969275648
"cell175","class1",4.1762923179,2.1928382813
"cell176","class1",2.9515317697,1.184859239
"cell177","class1",2.961660177,2.557213845
"cell178","class1",3.1974969771,1.9314106972
"cell179","class1",4.8191182294,1.4791730458
"cell180","class1",2.9101397197,2.30617211
"cell181","class1",0.5284994982,2.2295190295
"cell182","class1",3.2318986913,2.1652682367
"cell183","class1",2.9240871749,1.7575794343
"cell184","class1",1.7337553677,2.3304095675
"cell185","class1",1.3868681684,1.3311752657
"cell186","class1",1.6952830184,1.6853270528
"cell187","class1",2.2396181501,2.8793500689
"cell188","class1",5.0755187675,1.8158076217
"cell189","class1",2.8476928932,2.6326879667
"cell190","class1",2.8166101249,2.1516964774
"cell191","class1",2.8891141438,1.7240605992
"cell192","class1",2.1677249458,1.8425514098
"cell193","class1",4.5659486584,1.9865708928
"cell194","class1",3.2930028988,1.7470039932
"cell195","class1",3.2261624426,2.7378661711
"cell196","class1",1.8969048388,1.5526229658
"cell197","class1",2.623426815,1.4637606821
"cell198","class1",2.92847172,2.2256497259
"cell199","class1",2.7999045552,2.2161873839
"cell200","class1",2.5154985179,2.647793517
"cell201","class1",3.7403355009,0.685901978
"cell202","class1",3.6328040691,1.9114821585
"cell203","class1",1.6556362426,2.1806603656
"cell204","class1",3.9219556755,1.5370725771
"cell205","class1",2.401505203,1.7123573714
"cell206","class1",2.2727488507,2.3526646221
"cell207","class1",2.2918326513,2.3133225296
"cell208","class1",4.0450597473,2.1416316918
"cell209","class1",3.3705887045,1.2588151004
"cell210","class1",1.8445812876,2.3172768477
"cell211","class1",2.1926869908,2.1193090704
"cell212","class1",4.0276122069,2.839680699
"cell213","class1",3.0537536201,2.3503147715
