Actual_class,x,y,GMM_classification_result
class1,3.5367003124,2.3777537586,1
class1,2.314274775,1.4866495221,1
class1,2.3672278221,2.2648840876,1
class1,2.9737178559,2.2268577697,1
class1,2.4775907019,2.4729878799,1
class1,4.0415395074,1.8182515967,1
class1,2.9584514572,2.3009193596,1
class1,1.8149548283,2.1627303391,1
class1,4.2111162992,3.112512198,6
class1,1.6584260241,2.4482323048,1
class1,2.6611742183,1.7518964639,1
class1,3.7464414244,1.681018595,1
class1,3.6893018063,2.1140542315,1
class1,1.8797340577,2.379102547,1
class1,3.1477030574,1.8982554783,1
class1,2.7806473133,1.6170245322,1
class1,2.3130965059,2.8269454173,5
class1,2.9548676316,1.9895783362,1
class1,3.5578098552,1.096929638,1
class1,4.7309866226,0.9086226256,2
class1,2.2897347962,2.1737321696,1
class1,3.4725478002,1.8155874508,1
class1,2.6946054304,2.5398825214,1
class1,1.2769382019,2.0860694912,1
class1,1.9261978486,2.124211775,1
class1,3.0347489936,2.4836434215,1
class1,3.2252156056,1.6583354024,1
class1,4.0521610467,2.0396571656,1
class1,3.9258237916,2.1880455783,1
class1,2.3134076617,2.3819764408,1
class1,2.477307089,2.9469207459,5
class1,2.5953957115,2.2277298624,1
class1,2.6622732518,1.6721426962,1
class1,2.9555962735,1.8725971342,1
class1,2.9964596855,1.630862359,1
class1,2.6796500642,2.3999546524,1
class1,2.5790404686,2.0314172714,1
class1,3.9372098049,1.1204088868,6
class1,3.0149521806,2.2647577632,1
class1,3.9789202022,2.2058531692,1
class1,3.0580147739,2.7086505216,1
class1,2.0115054302,1.9846239612,1
class1,3.8321817789,1.9378469148,1
class1,1.5502022847,2.2464823248,1
class1,5.1331629523,2.4892650758,1
class1,2.1321087666,1.7330042637,1
class1,3.5704755119,1.1637263347,1
class1,3.0653944574,2.4304441207,1
class1,3.6538000533,1.220310604,1
class1,2.9905826043,2.0687314881,1
class1,2.1695557729,2.3157583631,1
class1,2.7744110704,2.0621202412,1
class1,2.349951946,2.5356741812,1
class1,2.3928362249,1.8807344974,1
class1,3.2538649385,1.818463093,1
class1,3.6576863729,1.8852671523,1
class1,3.3651462404,1.6231835246,1
class1,1.2477887689,2.539452954,1
class1,1.384466278,1.9930489773,1
class1,1.8050433762,2.207962328,1
class1,3.777291418,2.017888207,1
class1,4.9625924964,2.9842387917,1
class1,3.6382318811,2.3893708208,1
class1,2.7498440354,1.9946391586,1
class1,2.628659451,2.9028647196,5
class1,2.0108783396,1.9973193898,1
class1,0.6799828939,2.1885936127,1
class1,2.4013986051,1.8620286639,1
class1,4.3538111357,2.0919496817,1
class1,3.8336578239,1.5223229741,1
class1,4.5352022642,2.6899980818,1
class1,5.14059728,2.4613773797,1
class1,3.7564098035,2.4105775766,1
class1,1.4801567105,2.3425838846,1
class1,1.3531769433,2.3165523642,1
class1,4.7466371735,2.2706348187,1
class1,3.6561210993,1.6791291865,1
class1,3.8077383982,1.5685341065,1
class1,4.1380553758,0.878969758,2
class1,3.1192063862,2.2990561372,1
class1,3.9903410647,1.9123608982,1
class1,4.2249929543,1.767971814,1
class1,2.411281569,2.2893653597,1
class1,2.047555233,3.6622813173,5
class1,2.7158576432,1.1497927592,1
class1,2.3524648313,1.0916661173,1
class1,2.3580510575,1.6684453796,1
class1,0.3813753763,1.8556978833,1
class1,2.9899038226,1.2973449441,1
class1,2.3954119155,1.0098997858,1
class1,2.1214580552,1.2387766369,1
class1,3.7941886081,2.5843511054,1
class1,2.4409013413,1.4035859805,1
class1,2.230712742,1.6338940819,1
class1,3.6399937955,1.3370279125,1
class1,2.9430741276,2.637943609,1
class1,3.5373954267,1.4639449928,1
class1,2.9518891427,1.7649640941,1
class1,1.2852369408,0.8443333599,1
class1,3.0409076478,2.2031585717,1
class1,3.0407267375,1.7524105509,1
class1,3.0952905917,1.9809259314,1
class1,2.9019319152,3.4281441988,5
class1,3.4667309996,1.5198953832,1
class1,2.6035165378,2.828126209,1
class1,2.3414859402,1.9435285958,1
class1,1.162326133,2.8376658747,5
class1,3.8923147778,1.6251129871,1
class1,1.9309875966,3.1993063006,5
class1,1.9314065374,1.2360932254,1
class1,2.0407462231,2.5586295693,1
class1,1.0451162598,2.3658041535,1
class1,4.0317347401,1.7580586339,1
class1,3.1856763741,2.2546620625,1
class1,4.005250884,3.0459284438,6
class1,3.4011686814,2.0095244149,1
class1,3.3853270101,2.5752010321,1
class1,0.9619343082,2.4036584926,1
class1,2.6173734763,1.366289723,1
class1,3.9077366236,1.4573271721,1
class1,0.2737261633,2.2580441283,1
class1,2.2240997009,1.3396078427,1
class1,2.5902086591,1.7090277262,1
class1,1.1741358221,1.9976887304,1
class1,4.2576809205,1.4262176946,1
class1,1.5536444012,2.5661166471,1
class1,1.9437570451,2.1316531676,1
class1,2.5772929319,1.7199372486,1
class1,1.8215977256,2.0219021989,1
class1,1.6708550086,1.7377661288,1
class1,4.5983659267,2.0417257413,1
class1,3.3567443298,2.8629525667,1
class1,4.0843390852,0.9161720333,2
class1,2.3330230699,1.1033846523,1
class1,4.6267453999,1.9156182682,1
class1,3.327585668,2.3139556269,1
class1,4.3525226374,1.9292923904,1
class1,2.1768946581,2.2703768709,1
class1,3.4027549134,1.9107241867,1
class1,2.8593576622,1.4528966571,1
class1,2.2979516349,1.9111681185,1
class1,4.2358783379,2.4736023252,1
class1,3.8582642111,2.3744551936,1
class1,3.1714970039,2.1115630768,1
class1,3.9021353071,1.5807728532,1
class1,2.0609759956,2.1638011331,1
class1,2.6057270065,1.9074919424,1
class1,3.0950753227,1.6442498726,1
class1,2.6791428439,1.6923324331,1
class1,1.4980684956,3.0916920987,5
class1,3.6076088159,2.6474824074,1
class1,3.8470701233,2.3094222592,1
class1,3.3481795405,2.6482756386,1
class1,2.795776065,2.1220124534,1
class1,3.5783861034,1.3971353938,1
class1,2.3267988433,1.5775433483,1
class1,3.914737552,0.9153280352,6
class1,4.8446029695,1.8336629572,1
class1,4.9035939726,2.3477510088,1
class1,2.816981157,1.6852369602,1
class1,1.9372874656,1.7370882659,1
class1,1.8001486495,2.1616705918,1
class1,3.6524384869,1.7146492365,1
class1,4.0077176507,1.3479846797,1
class1,3.5808495776,1.6411083693,1
class1,2.1280838666,2.2368825201,1
class1,2.0667419359,1.4873663151,1
class1,4.715082565,2.2201180129,1
class1,2.9267219095,2.1560944427,1
class1,3.3035537105,2.5219402112,1
class1,5.0136280479,2.0469634857,1
class1,3.5088392241,2.4959632758,1
class1,1.8205131694,1.7307074143,1
class1,1.7147260117,2.4969275648,1
class1,4.1762923179,2.1928382813,1
class1,2.9515317697,1.184859239,1
class1,2.961660177,2.557213845,1
class1,3.1974969771,1.9314106972,1
class1,4.8191182294,1.4791730458,1
class1,2.9101397197,2.30617211,1
class1,0.5284994982,2.2295190295,1
class1,3.2318986913,2.1652682367,1
class1,2.9240871749,1.7575794343,1
class1,1.7337553677,2.3304095675,1
class1,1.3868681684,1.3311752657,1
class1,1.6952830184,1.6853270528,1
class1,2.2396181501,2.8793500689,5
class1,5.0755187675,1.8158076217,1
class1,2.8476928932,2.6326879667,1
class1,2.8166101249,2.1516964774,1
class1,2.8891141438,1.7240605992,1
class1,2.1677249458,1.8425514098,1
class1,4.5659486584,1.9865708928,1
class1,3.2930028988,1.7470039932,1
class1,3.2261624426,2.7378661711,1
class1,1.8969048388,1.5526229658,1
class1,2.623426815,1.4637606821,1
class1,2.92847172,2.2256497259,1
class1,2.7999045552,2.2161873839,1
class1,2.5154985179,2.647793517,1
class1,3.7403355009,0.685901978,2
class1,3.6328040691,1.9114821585,1
class1,1.6556362426,2.1806603656,1
class1,3.9219556755,1.5370725771,1
class1,2.401505203,1.7123573714,1
class1,2.2727488507,2.3526646221,1
class1,2.2918326513,2.3133225296,1
class1,4.0450597473,2.1416316918,1
class1,3.3705887045,1.2588151004,1
class1,1.8445812876,2.3172768477,1
class1,2.1926869908,2.1193090704,1
class1,4.0276122069,2.839680699,1
class1,3.0537536201,2.3503147715,1
class1,3.8637620192,1.3458045963,1
class1,4.1315176689,2.3185362651,1
class1,3.1343110758,1.95410514,1
class1,2.9827633304,1.9717856313,1
class1,2.6833477723,2.0205392633,1
class1,2.9605610322,1.8720214726,1
class1,3.3108634802,1.7900341601,1
class1,4.0874670533,1.600226041,1
class1,3.0312410615,1.1346669218,1
class1,2.2726148121,2.3692608126,1
class1,2.9845141141,1.0233384006,1
class1,-0.0833214943,2.8766223905,5
class1,-0.1153505948,1.6823411973,1
class1,3.2916388609,1.8902410691,1
class1,2.6580162998,1.7816165971,1
class1,3.4341686331,2.178493437,1
class1,1.6716227181,1.9900950313,1
class1,2.2103296747,1.300240369,1
class1,3.9756605886,0.8380164838,2
class1,3.9977010138,1.8803353416,1
class1,1.2677591952,1.9282679936,1
class1,1.5489204226,2.7341233982,5
class1,4.3536640402,1.7865844236,1
class1,4.2778787722,2.136796911,1
class1,5.3325298638,2.3085698298,1
class1,3.5035245271,1.2904782683,1
class1,3.9944253346,2.367923651,1
class1,2.9663405204,1.9305464574,1
class1,3.2940323522,1.3953172901,1
class1,3.3853264064,1.9382822386,1
class1,1.5013523969,1.7539317459,1
class1,3.9158883776,3.119283322,6
class1,2.9604680539,1.8514201649,1
class1,3.266318364,2.3387319506,1
class1,3.6946251975,2.5845936159,1
class1,3.650166225,2.6937361381,1
class1,0.7839698886,1.2574262835,1
class1,2.1220789125,1.6655469474,1
class1,3.2067010247,1.1525818371,1
class1,3.3859384885,1.9617846086,1
class1,3.1557323733,2.4282485065,1
class1,1.8742747754,2.1492104407,1
class1,3.0817656885,1.4591237597,1
class1,2.0900565099,2.9137946419,5
class1,4.6193159452,1.6953566955,1
class1,3.6872567319,2.7147190031,1
class1,2.8960810554,2.0038087139,1
class1,3.8153162972,2.4954705196,1
class1,3.1022987832,2.394448168,1
class1,2.658627483,3.6520926041,5
class1,2.2913682024,2.0686386491,1
class1,1.9142174843,1.6653604727,1
class1,2.4712862323,2.6369339967,1
class1,3.7974629788,1.8409901934,1
class1,1.1115489984,1.7978024826,1
class1,3.5700521425,1.8699994883,1
class1,0.6736782999,1.8920930398,1
class1,2.9659943298,2.1879341034,1
class1,2.6230584018,2.4324068219,1
class1,3.9054338928,1.4455792634,1
class1,3.2902101528,2.3824012946,1
class1,5.2797573689,1.5415439617,1
class1,3.3391818176,1.5596319276,1
class1,3.155403169,0.4120359836,6
class1,3.0158103432,2.0987185587,1
class1,3.4156887455,2.4504861156,1
class1,1.8519353089,2.0371916294,1
class1,2.9555421588,2.0446370782,1
class1,2.6482197405,1.9946051282,1
class1,5.1609015816,2.3545079882,1
class1,4.2589540332,2.3898562903,1
class1,2.6289720894,2.1625447767,1
class1,3.7200900494,2.0031467751,1
class1,0.9817457468,1.2679166545,1
class1,4.1465460944,2.3309453568,1
class1,2.7223782621,1.3208502912,1
class1,1.7490226486,1.7204634496,1
class1,4.5870825093,1.4768444668,1
class1,3.0197660338,2.2675764972,1
class1,2.2385221069,1.3531815195,1
class1,4.0679935548,1.8922604969,1
class1,3.9785977434,2.2299298592,1
class1,2.3669034377,2.5081664274,1
class1,3.7812653253,1.6641822923,1
class1,2.4520489037,2.0678937874,1
class1,3.0601250794,1.6627949879,1
class1,1.186992287,1.3776528688,1
class1,2.2542460002,2.3992539448,1
class1,3.1869812933,2.2043488997,1
class1,3.8917907264,2.4477854019,1
class1,2.6707824895,1.6743616225,1
class1,3.6699339808,2.5280561071,1
class1,2.9507774604,1.4135569628,1
class1,2.1975234458,2.1653656753,1
class1,4.2193370463,2.1929227935,1
class1,4.2458103955,1.1413169441,1
class1,3.3580078892,2.390281767,1
class1,4.8505951615,2.807790554,1
class1,3.0204771894,2.6197802495,1
class1,4.4620566285,1.9790228702,1
class1,3.2036801606,2.1395714012,1
class1,3.8733509074,1.8311524311,1
class1,4.2506565691,1.5471232706,1
class1,3.6993105441,1.6775685607,1
class1,3.7676880236,2.1826781271,1
class1,4.7610567513,1.8912354673,1
class1,1.9592078105,3.076552063,5
class1,4.0130472959,2.2165645137,1
class1,3.2165132973,2.2027597349,1
class1,4.0875202075,1.8833670613,1
class1,5.0505841919,1.962669994,1
class1,2.949053719,1.5356139221,1
class1,4.1357587022,2.6362925141,1
class1,4.269632787,1.4840283115,1
class1,2.9398656449,1.8070104747,1
